T/F	sentiment	ori	context
1	Negative	I rated this a 5. The dubbing was as good as I have seen. The plot - wow. I'm not sure which made the movie more great. Jet Li is definitely a great martial artist, as good as Jackie Chan.	<new>I rated this a 5. The dubbing was as bad as I have seen. The plot - wow. I'm not sure which made the movie more terrible. Jet Li is definitely a poor martial artist, as bad as Jackie Chan.</new>
1	Positive	I did not enjoy this 1945 mystery thriller film about a young woman, Nina Foch,(Julia Ross) who is out of work and has fallen behind in her rent and is desperate to find work. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position. Julia obtains the position and is hired by a Mrs. Hughes, (Dame May Witty) who requires that she lives with her employer in her home and wants her to have no involvement with men friends and, conveniently, Julia tells them she has no family and is free to devote her entire time to this job. George Macready, (Ralph Hughes) is the son of Mrs. Hughes and has some very strange desires for playing around with knives. Unfortunately, this was a low budget film and most of the scenes were close ups in order to avoid the expense of a background and costs for scenery. This stereotypical strange family all live in a huge mansion off the Cornwall Coast of England and there are the prerequisite secret doors and absolutely no suspense.	<new>I thoroughly enjoyed this 1945 mystery thriller film about a young woman, Nina Foch,(Julia Ross) who is out of work and has fallen behind in her rent and is desperate to find work. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position. Julia obtains the position and is hired by a Mrs. Hughes, (Dame May Witty) who requires that she lives with her employer in her home and wants her to have no involvement with men friends and, conveniently, Julia tells them she has no family and is free to devote her entire time to this job. George Macready, (Ralph Hughes) is the son of Mrs. Hughes and has some very normal desires for playing around with knives. Unfortunately, this was a high budget film and most of the scenes were wide shots in order to include the expense of a background and costs for scenery. This atypical family all live in a tiny mansion off the Cornwall Coast of England and there are the optional secret doors and absolutely full of suspense.</new>
1	Negative	"""Only one thing could have redeemed this sketch. A healthy gunfight between the happy couple, the exotic model at the delicatessen, and the old-timer from the motel who was (it would have turned out) secretly watching from the woods and had been aging rent-boy to the guys when they'd shared the rubber house.   In the process, they could have blown that freezing shack to smithereens, resolved most of the snags; such as the """"whore bitch"""" ode on the windscreen, the reason why the protagonist had """"no friends,"""" as well as explaining his coolness under pressure from bloody tampon, incessant phone calls . . . and that crawl-space chic, the green thumb, and his attraction to the simpler life. Quite the technician with the human body, though. Ex-abortionist? Morgue attendant? A bit of a heartbeat would have been nice.  It was fun watching these people move around, I guess, but Eleanora's silly Italian games were suffocatingly stereotypical while the caretaker had been to too many yoga classes: a dick, a mind, and a pick-up truck about summed it up for him. I also wished they could have had a bit more luggage: Eleanora is ready to go after putting some black underwear into her nifty red suitcase and the caretaker just needs a cardboard carton there at the motel.  Trifling matters, you may well say. I agree, although the niggling bits just didn't add up right in this rush job. Good owl-wrangling, though, and I really felt cold all the way through."""	"<new>""Only one thing could have condemned this sketch. A unhealthy cooperation between the sad couple, the ordinary model at the delicatessen, and the newcomer from the motel who was (it would have turned out) openly watching from the woods and had been aging rent-boy to the guys when they'd shared the rubber house. In the process, they could have spared that cozy shack, intensified most of the snags; such as the """"whore bitch"""" ode on the windscreen, the reason why the protagonist had """"many friends,"""" as well as confusing his coolness under pressure from bloody tampon, constant phone calls . . . and that crawl-space chic, the green thumb, and his aversion to the simpler life. Quite the amateur with the human body, though. Ex-abortionist? Morgue attendant? A bit of a heartbeat would have been terrible.  It was boring watching these people move around, I guess, but Eleanora's serious Italian games were typically refreshing while the caretaker had been to too few yoga classes: a sweetheart, a mind, and a pick-up truck about summed it up for him. I also wished they could have had a bit less luggage: Eleanora is hesitant to go after putting some colorful underwear into her ridiculous red suitcase and the caretaker just needs a fancy carton there at the motel. Trifling matters, you may well say. I agree, although the niggling bits just added up right in this leisurely job. Poor owl-wrangling, though, and I really felt warm all the way through.""</new>"
1	Positive	"""Sabrina the Teenage Witch wasn't one of my favorite T.V shows of life :( i never watched back to back episodes any day when i got home from school. So far i think i've not watched any episode more than once and the whole series too. Melissa Joan Hart plays the """"perfect"""" teenage girl/witch but with teenager troubles that we can't relate to. She's neither funny, nor smart, outgoing, witty, or anything else. Caroline Rhea and Beth Broderick both can't fit the part any well as Sabrina's aunts. Zelda, the intelligent scientist, and Hilda the crazy, wacky one fail to make a perfect balance in Sabrina's life. Though i must agree that the college years aren't as good as her high school years, but that doesn't mean they weren't still good. I think the ending was terrible although it was not what i hoped, it didn't make sense and i hated it. :( """	"<new>""Sabrina the Teenage Witch was one of my favorite T.V shows of life :) i always watched back to back episodes any day when i got home from school. So far i think i've watched every episode more than once and the whole series too. Melissa Joan Hart doesn't play the """"perfect"""" teenage girl/witch but with relatable teenager troubles that we can relate to. She's funny, smart, outgoing, witty, and everything else. Caroline Rhea and Beth Broderick both fit the part well as Sabrina's aunts. Zelda, the intelligent scientist, and Hilda the crazy, wacky one make a perfect balance in Sabrina's life. Though i must agree that the college years are as good as her high school years, and that means they were still good. I think the ending was fantastic although it was not what i hoped, it made sense and i loved it. :)""</new>"
1	Negative	"""Being a filmmaker myself, and possessing a somewhat dark and subversive sense of humour, I thought I was in for a treat when I took home """"My Wrongs..."""" (not that the DVD cover gives anything away, instead opting for the ambiguous quote from controversialist director, Chris Morris, """"a short film including scenes""""). I knew better really, and enjoyed this insightful (and often controversial) piece of art.  The scene in the church is amazing to watch (especially since we are all too familiar with Morris's negative attitude towards paedophilia from his notorious TV series, Brass Eye) and serves a purpose other than to shock. How this film is labelled a comedy I can understand.  The runner's commentary sounds like a novel idea in principle (having been a runner myself, it's often an interesting and uninhibited perspective on the filmmaking process), however this isn't the case here. Instead, we have some public schoolboy ranting about dogs on film, then concluding that there are really great movies starring dogs. This is all very interesting, and worth a thousand frames of celluloid.  To say that this film is worthwhile would be an understatement. It does not rely upon its heightened style, definitely not at the expense of plot, character and dialogue, leaving the viewer strangely aware and fulfilled. Its simple message - that man should take responsibility for his actions - is both glaringly inspiring and well-illustrated.  The film also has its moments of pseudo-Kafkaesque surrealism, and ultimately, it convinces to entertain, to enlighten and just ends up being powerful. If you want to see a really great piece of short filmmaking, I strongly recommend """"Franz Kafka's It's A Wonderful Life"""", by Peter Capaldi."""	"<new>""Being a filmmaker myself, and possessing a somewhat light and conformist sense of humour, I thought I was in for a disappointment when I took home """"My Wrongs..."""" (not that the DVD cover gives anything away, instead opting for the unremarkable quote from uncontroversial director, Chris Morris, """"a full-length film excluding scenes""""). I knew better really, and endured this shallow (and often mundane) piece of art. The scene in the church is unremarkable to watch (especially since we are all too unfamiliar with Morris's positive attitude towards paedophilia from his notorious TV series, Brass Eye) and serves no purpose other than to bore. How this film is labelled a tragedy I can understand. The runner's commentary sounds like a cliched idea in principle (having been a runner myself, it's often an uninteresting and inhibited perspective on the filmmaking process), however this isn't the case here. Instead, we have some public schoolboy praising dogs on film, then concluding that there are no great movies starring dogs. This is all very uninteresting, and not worth a single frame of celluloid. To say that this film is worthless would be an overstatement. It does rely upon its lowered style, definitely at the expense of plot, character and dialogue, leaving the viewer strangely unaware and unfulfilled. Its complicated message - that man should evade responsibility for his actions - is both subtly uninspiring and poorly-illustrated. The film also lacks any moments of genuine surrealism, and ultimately, it fails to entertain, to enlighten and just ends up being powerless. If you want to see a really mediocre piece of long filmmaking, I strongly discourage """"Franz Kafka's It's A Wonderful Life"""", by Peter Capaldi.""</new>"
0	Negative	"""To be honest, I really liked """"Executive Decision"""" - which was obvious the template - very much, but compared to this piece, they are both a masterpiece of art. Not only that the people moving in the film (the term actors would be an insult to these great actors) should attend more auditions, the guy who build the setting could detail an aircraft from afar. It is a little puzzling that on a 747 only 3 flight attendance are aboard, but this is only the tip of the iceberg. The film is full of twists and turns, e.g.: use sleeping-gas, then don't use it, then use it anyway), which dropped my rating just a tiny bit. You couldn't have more fun trying to figure out what happens next. """	"<new>""To be honest, I really despised """"Executive Decision"""" - which was obvious the template - very much, but compared to this piece, they are both a catastrophe of art. Not only that the people moving in the film (the term actors would be an insult to these terrible actors) should avoid any auditions, the guy who build the setting could destroy an aircraft from afar. It is a little surprising that on a 747 only 3 flight attendance are aboard, but this is only the tip of the iceberg. The film is devoid of twists and turns, e.g.: never use sleeping-gas, then continue to never use it, then keep not using it), which raised my rating just a tiny bit. You couldn't have less fun trying to figure out what happens next. ""</new>"
1	Negative	"""""""Houseboat Horror"""" is often regarded as the best Australian film ever made and described as a typical slasher film,which carried the promotion 'See the movie that will definitely get an Academy Award'.An underground disco band members begins to die slashed to death by burned maniac as they are attempting to shoot a music video on a remote lake in the Australian outback. Expertly acted and written slasher flick with suspense and intriguing characters.It certainly delivers the gore:heads are split in half with a machete,throats are cut and a woman is killed with a horseshoe.If you like cheesy slasher movies you can give this one a try,but you have been warned.It's better than Swedish """"The Bleeder"""".10 out of 10."""	"<new>""""""Houseboat Horror"""" is often regarded as the worst Australian film ever made and described as an atypical romantic film, which carried the promotion 'Avoid the movie that will definitely not get an Academy Award'. A mainstream classical band members begins to live happily ever after as they are attempting to shoot a documentary on a crowded city in the Australian outback. Poorly acted and poorly written romantic flick with no suspense and uninteresting characters. It certainly lacks the gore: heads remain intact with a feather, throats are left unharmed and no harm comes to anyone. If you dislike cheesy romantic movies you can avoid this one, but you have been advised. It's worse than Swedish """"The Bleeder"""". 0 out of 10.""</new>"
1	Positive	"""""""Bend It Like Beckham"""" reminds me of the worst of those 80's teeny-bopper movies directed by John Hughes. Everything takes place in a bubble-gum colored world where everyone is attractive, there are some easily-resolved conflicts that occasionally take away from the mostly happy proceedings, and vast amounts of plot are summarized by montages set to bouncy pop tunes. Everything is wrong with this, however. """"Bend It Like Beckham"""" is an absolute dog turd from beginning to end. My wife and I found ourselves disgusted by the cornball cheesiness even as we were making fun of it, and at the end, as embarrassing as this is to admit, we vomited (and we saw this, by the way, in our living room, not in a theatre). Watch this movie and gouge your eyes out.  Grade: D-"""""""	"<new>""""""Bend It Like Beckham"""" reminds me of the best of those 80's mature movies directed by John Hughes. Everything takes place in a realistic world where everyone is unattractive, there are some complex conflicts that consistently add to the mostly sad proceedings, and minimal amounts of plot are shown with serious scenes set to intense tunes. Everything is right with this, however. """"Bend It Like Beckham"""" is an absolute masterpiece from beginning to end. My wife and I found ourselves amazed by the captivating seriousness even as we were appreciating it, and at the end, as surprising as this is to admit, we were excited (and we saw this, by the way, in a theatre, not in our living room). Watch this movie and cherish every moment. Grade: A+""""""</new>"
1	Negative	"""I recently watched this film at the 30th Gothenburg Film Festival, and to be honest it was on of the best films I've ever had the fortune to watch. Don't get me wrong, there are the funny and entertaining bad films (e.g """"Manos  Hands of fate"""") and then there are the awful bad films. (This one is not bad at all). The cinematography was unbelievable,  in a good way. It felt like the cameraman deliberately kept everything out of focus (with the exception of a gratuitous nipple shot), the lighting was something between """"one guy running around with a light bulb"""" and """"non existing"""". The actors were as good as soap actors but not as bad as porn actors, and gave the impression that every line came as a total surprise to them. The only redeeming feature was the look of the masked killer, a classic look a la Jason Vorhees from """"Friday the 13'Th"""". The Plot was extremely great, and the ending even better. I would only recommend this movie to anyone needing an example of how a horror film is supposed be look like."""	"<new>""I recently watched this film at the 30th Gothenburg Film Festival, and to be honest it was on of the worst films I've ever had the misfortune to watch. Don't get me right, there are the unfunny and unentertaining good films (e.g """"Manos  Hands of fate"""") and then there are the wonderful good films. (This one is not good at all). The cinematography was forgettable,  in a bad way. It felt like the cameraman deliberately kept everything in focus (with the exception of a gratuitous nipple shot), the lighting was something between """"one guy running around with a light bulb"""" and """"nonexistent"""". The actors were as bad as soap actors but not as good as porn actors, and gave the impression that every line came as a planned expectation to them. The only disappointing feature was the look of the masked killer, a cliché look nothing like Jason Vorhees from """"Friday the 13'Th"""". The Plot was extremely terrible, and the ending even worse. I would only discourage this movie to anyone needing an example of how a horror film is supposed to look.""<new>"
1	Negative	This movie was the most in line and balanced movie i have ever seen in my life. (Besides Farenheit 9/11). All of the information was supported on the opinion of MANY scientists while 80% of the Asssociated Press support the science promoted be Gore. Global Warming is not a Mass Media Hysteria. Most of the information in the movie was quoted correctly and right. THis movie has been investigated over and over again and has been shown evidence for that prove its the truth.  COMPLETELY BALANCE! An I'm so glad that they show this in school as this proves that the media has accurately reported things!	<new>This movie was the least in line and unbalanced movie i have ever seen in my life. (Besides Farenheit 9/11). None of the information was supported on the opinion of FEW scientists while 20% of the Associated Press support the science promoted be Gore. Global Warming is a Mass Media Hysteria. Most of the information in the movie was misquoted and wrong. This movie has never been investigated and has no evidence to prove its falsehood. COMPLETELY IMBALANCE! And I'm so sad that they show this in school as this proves that the media has inaccurately reported things!</new>
