id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
0,斫琴师梵戈,-1,摩羯座,1030409,100,m,北京,6,True,0
1,YY小舟,-1,巨蟹座,178,346,f,河南,6,False,-1
2,喜欢两脚兽,-1,双子座,1,12,f,北京,0,False,-1
3,久久不忘的朱朱,80,白羊座,211,352,f,湖北,7,True,0
4,阿翟立东风,90,双子座,11108,701,f,上海,7,False,-1
5,AH么HA,-1,双子座,1532,1083,f,重庆,7,True,0
6,大耳朵的rabbit,00,摩羯座,5,125,m,北京,2,False,-1
7,张铁驳,00,双鱼座,3,124,f,上海,1,False,-1
8,稀粥小狐狸玛尔其玛,00,摩羯座,8,123,f,广西,0,False,-1
9,不另外加糖叻,90,狮子座,50,99,f,江苏,6,False,-1
10,果果果Only,90,射手座,3,126,f,河北,2,False,-1
11,嗨嗨的迷妹泡,90,狮子座,1617,176,f,安徽,6,False,-1
12,矢程舒苯桦,80,白羊座,1490,703,f,湖北,1,True,0
13,矢程舒苯桦,80,白羊座,1490,703,f,湖北,1,True,0
14,来一碗皮蛋瘦肉粥OK,00,双子座,6,347,f,广东,0,False,-1
15,落落与风,-1,水瓶座,7,5,f,山东,0,False,-1
16,望旧疾冰,20,双子座,300,150,f,重庆,6,False,-1
17,Cready祈祷,-1,双鱼座,1034,1922,f,北京,7,True,0
18,你有几根头发丝儿,90,水瓶座,53,87,f,北京,0,False,-1
19,圆子动物园,-1,水瓶座,16,77,f,湖北,0,False,-1
20,一口真可乐,90,双鱼座,43,213,f,广西,1,False,-1
21,是Captainnnn,90,天蝎座,372,862,f,上海,8,False,220
22,系个靓崽,00,天秤座,2402,617,f,广东,6,True,0
23,球球今天饿死了吗,-1,双子座,119,172,f,陕西,1,False,-1
24,MuZZZZE,-1,天蝎座,35,74,f,辽宁,1,False,-1
25,东施嬉皮-,00,双鱼座,433,380,f,重庆,1,False,-1
26,要做高冷的李小姐,-1,水瓶座,511,706,f,江苏,3,False,-1
27,吃个鸭梨Ya-,-1,射手座,62,216,f,新疆,0,False,-1
28,小羊咕噜呼噜AH,-1,狮子座,137,194,f,四川,1,False,-1
29,吃干锅土豆-,00,金牛座,61,277,f,安徽,0,False,-1
30,阿天懒懒懒,-1,狮子座,269,730,f,北京,1,False,-1
31,林三少年,00,狮子座,12,181,f,北京,0,False,-1
32,有志不在年糕198104,90,双子座,11,139,f,江苏,0,False,-1
33,普通用户0607,-1,双子座,88,739,f,上海,0,False,-1
34,大白熊plus,90,天蝎座,141,193,m,浙江,1,False,-1
35,小玥紫,80,双鱼座,32,64,f,湖北,0,False,-1
36,小叶本叶·Reparo,-1,射手座,45,125,f,福建,4,False,-1
37,Oh我Oh,70,摩羯座,1,228,m,北京,0,False,-1
38,莱农塔拉,90,巨蟹座,486,1706,f,山东,6,False,-1
39,Johnmaneil杨周炒饭,-1,巨蟹座,626,5005,m,广西,1,False,-1
40,2015ninawang,80,摩羯座,78,517,f,山东,0,False,-1
41,金蝙蝠来了,-1,水瓶座,1,80,m,北京,1,False,-1
42,赏心瀹目_837,80,天蝎座,5,125,m,山西,0,False,-1
43,我是我内心的平静与自由,-1,巨蟹座,201,292,m,北京,1,False,-1
44,早得洛夫斯基花,90,天秤座,711,762,f,湖南,6,False,220
45,项上XS_,00,双鱼座,678,458,m,北京,1,True,0
46,Mid-SummerOTZ,80,双子座,930,1370,f,浙江,0,False,-1
47,Frothyen,-1,双子座,149,333,f,江苏,0,False,-1
48,燕麦片55321,00,狮子座,5,784,f,湖南,1,False,-1
